Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1576022400,12/11/2019,BTCKRW,8533000,8595000,8428000,8485000,7986.03,68108810189
1575936000,12/10/2019,BTCKRW,8678000,8740000,8480000,8533000,6160.51,53205961449
1575849600,12/9/2019,BTCKRW,8801000,8885000,8645000,8678000,6040.13,52982219416
1575763200,12/8/2019,BTCKRW,8785000,8850000,8679000,8801000,7069.25,62117312098
1575676800,12/7/2019,BTCKRW,8810000,8888000,8769000,8785000,2984.4,26327750015
1575590400,12/6/2019,BTCKRW,8692000,8835000,8615000,8810000,4618.65,40209598174
1575504000,12/5/2019,BTCKRW,8519000,8812000,8480000,8692000,5877.43,50907020318
1575417600,12/4/2019,BTCKRW,8603000,8960000,8420000,8519000,6819.87,58743174597
1575331200,12/3/2019,BTCKRW,8599000,8702000,8550000,8603000,3539.14,30518008079
1575244800,12/2/2019,BTCKRW,8683000,8729000,8451000,8599000,4229.3,36356165127
1575158400,12/1/2019,BTCKRW,8887000,8887000,8506000,8683000,5742.49,49715746036
1575072000,11/30/2019,BTCKRW,9076000,9127000,8758000,8887000,4407.08,39522478187
1574985600,11/29/2019,BTCKRW,8720000,9200000,8700000,9076000,7093.54,63315122392
1574899200,11/28/2019,BTCKRW,8773000,8931000,8650000,8720000,6479.54,56956438410
1574812800,11/27/2019,BTCKRW,8401000,8966000,8049000,8773000,10701.37,90946303188
1574726400,11/26/2019,BTCKRW,8335000,8627000,8250000,8401000,7780.21,65494771393
1574640000,11/25/2019,BTCKRW,8204000,8655000,7683000,8335000,14376.83,1.17172E+11
1574553600,11/24/2019,BTCKRW,8672000,8694000,8160000,8204000,6062.93,51161435674
1574467200,11/23/2019,BTCKRW,8659000,8703000,8401000,8672000,6727.34,57719887406
1574380800,11/22/2019,BTCKRW,9034000,9130000,8186000,8659000,13870.73,1.2034E+11
1574294400,11/21/2019,BTCKRW,9481000,9532000,8927000,9034000,9784.95,91185792221
1574208000,11/20/2019,BTCKRW,9516000,9602000,9415000,9481000,3459.98,32847575538
1574121600,11/19/2019,BTCKRW,9590000,9612000,9370000,9516000,4693.43,44580455461
1574035200,11/18/2019,BTCKRW,9928000,9930000,9522000,9590000,8719.6,85644824061
1573948800,11/17/2019,BTCKRW,9929000,10053000,9820000,9928000,7070.31,70269110628
1573862400,11/16/2019,BTCKRW,9921000,9995000,9883000,9929000,8757.99,86843537795
1573776000,11/15/2019,BTCKRW,10074000,10221000,9858000,9921000,7621.2,76407225470
1573689600,11/14/2019,BTCKRW,10222000,10243000,10033000,10074000,9867.87,99751559544
1573603200,11/13/2019,BTCKRW,10259000,10282000,10150000,10222000,6074.83,62021316835
1573516800,11/12/2019,BTCKRW,10162000,10311000,10010000,10259000,7451.33,75846371510
1573430400,11/11/2019,BTCKRW,10498000,10512000,10070000,10162000,4411.8,45122112628
1573344000,11/10/2019,BTCKRW,10253000,10600000,10170000,10498000,3858.85,39762696339
1573257600,11/9/2019,BTCKRW,10210000,10313000,10168000,10253000,2441.05,25019839171
1573171200,11/8/2019,BTCKRW,10672000,10718000,10101000,10210000,9296.23,97016050604
1573084800,11/7/2019,BTCKRW,10749000,10793000,10559000,10672000,6154.17,65710720684
1572998400,11/6/2019,BTCKRW,10763000,10844000,10710000,10749000,6865.73,73872478415
1572912000,11/5/2019,BTCKRW,10851000,10927000,10670000,10763000,8887.82,95896470652
1572825600,11/4/2019,BTCKRW,10782000,10993000,10650000,10851000,4629.79,49990002840
1572739200,11/3/2019,BTCKRW,10847000,10948000,10650000,10782000,5226.89,56438640716
1572652800,11/2/2019,BTCKRW,10797000,10960000,10751000,10847000,7004.65,75856203632
1572566400,11/1/2019,BTCKRW,10702000,10849000,10600000,10797000,4633.87,49633348214
1572480000,10/31/2019,BTCKRW,10704000,10980000,10503000,10702000,5700.91,61083917444
1572393600,10/30/2019,BTCKRW,10888000,10905000,10508000,10704000,6464.57,69152886685
1572307200,10/29/2019,BTCKRW,10728000,11066000,10645000,10888000,6991.35,76088699052
1572220800,10/28/2019,BTCKRW,10987000,11347000,10713000,10728000,8016.61,88174082258
1572134400,10/27/2019,BTCKRW,10735000,11273000,10553000,10987000,13117.9,1.43767E+11
1572048000,10/26/2019,BTCKRW,10050000,11908000,10024000,10735000,20298.09,2.20061E+11
1571961600,10/25/2019,BTCKRW,8739000,10131000,8713000,10050000,9574.79,91328941847
1571875200,10/24/2019,BTCKRW,8835000,8868000,8644000,8739000,4510.64,39516100308
1571788800,10/23/2019,BTCKRW,9469000,9534000,8684000,8835000,6972.52,63150187715
1571702400,10/22/2019,BTCKRW,9663000,9775000,9450000,9469000,3006.01,28978645788
1571616000,10/21/2019,BTCKRW,9712000,9803000,9616000,9663000,2814.91,27304261634
1571529600,10/20/2019,BTCKRW,9443000,9814000,9375000,9712000,3464.71,33087140225
1571443200,10/19/2019,BTCKRW,9438000,9570000,9357000,9443000,3128.9,29548249862
1571356800,10/18/2019,BTCKRW,9563000,9660000,9350000,9438000,5602.11,52953181616
1571270400,10/17/2019,BTCKRW,9523000,9634000,9460000,9563000,5350.37,51052257804
1571184000,10/16/2019,BTCKRW,9710000,9783000,9442000,9523000,5757.36,55272093368
1571097600,10/15/2019,BTCKRW,9875000,9944000,9676000,9710000,7979.98,78344895849
1571011200,10/14/2019,BTCKRW,9811000,9905000,9739000,9875000,4144.64,40705078475
1570924800,10/13/2019,BTCKRW,9879000,9998000,9729000,9811000,3180.83,31467401487
1570838400,10/12/2019,BTCKRW,9823000,9973000,9806000,9879000,2715.17,26860100406
1570752000,10/11/2019,BTCKRW,10168000,10426000,9800000,9823000,8529.39,85386181474
1570665600,10/10/2019,BTCKRW,10189000,10301000,10033000,10168000,6068.01,61574095332
1570579200,10/9/2019,BTCKRW,9723000,10299000,9671000,10189000,6334.22,63314735469
1570492800,10/8/2019,BTCKRW,9747000,9928000,9669000,9723000,5431.56,53076042575
1570406400,10/7/2019,BTCKRW,9430000,9893000,9307000,9747000,7432,71319858517
1570320000,10/6/2019,BTCKRW,9733000,9767000,9363000,9430000,4067.31,38810769037
1570233600,10/5/2019,BTCKRW,9750000,9793000,9581000,9733000,2721.38,26373696254
